Id,Label,ns:computer.programming_language.introduced
ns:m.02x9y83,CL,
ns:m.02xjk1,EASY,
ns:m.02xkxpr,Mantra,
ns:m.02y1lf,m4,1977
ns:m.02y475,Extensible Application Markup Language,
ns:m.02yjg_,Object Pascal,1986
ns:m.02yrkx,IBM RPG,1959
ns:m.02z2qyc,Lily,
ns:m.02z35v1,STOIC,
ns:m.02z3d4k,XProc,
ns:m.02z5spd,IronLisp,
ns:m.02z6g2t,Model-driven integration,
ns:m.02z81,Forth,1970
ns:m.02z825p,Protel,
ns:m.02zwml,Ratfiv,
ns:m.030b4s,TI-BASIC,
ns:m.030dg9,Focal,
ns:m.03189t,Shakespeare,
ns:m.031h11,Lispkit Lisp,
ns:m.032qpc,Cola,
ns:m.032qpq,Jako,
ns:m.0336_z,Hartmann pipeline,1986
ns:m.0338k6,ALGOL 68,
ns:m.03396h,Larch family,
ns:m.033jmv,Joy,2001
ns:m.033zxh,POPS,
ns:m.0340d7,Game Maker Language,
ns:m.034zpn,CMusic,
ns:m.0376r,Godiva,
ns:m.03790v,Windows PowerShell,2006
ns:m.037k4q,DataFlex,
ns:m.037s0n,Pantalk,
ns:m.037xjq,StarLogo,
ns:m.0398fx,Property Specification Language,
ns:m.039lgr,CHILL,1980
ns:m.03_6c8,Dialog Manager programming language,
ns:m.03_h_w,G-code,
ns:m.03_lm8,Qu,
ns:m.03b2t9,wxBasic,
ns:m.03b6qy,ICI,
ns:m.03bn_2,JRT,
ns:m.03bqkh,Haskore,
ns:m.03bscv,TTCN,
ns:m.03bxpvh,L programming language,
ns:m.03bxz4p,S3,
ns:m.03c0cwt,C/AL,
ns:m.03c2d7t,Orc,2004
ns:m.03c2jcv,Hindawi Programming System,
ns:m.03c2z57,SISC,
ns:m.03c3n3t,Snostorm,
ns:m.03c3pjf,LISP 2,
ns:m.03c4bw5,FRACTRAN,
ns:m.03c4g3_,Bidule,
ns:m.03c4w1k,FastPak for Java,
ns:m.03c9pzr,Judoscript,2001-11
ns:m.03cbl66,Baby modula-3,
ns:m.03cjm6,XBL,
ns:m.03ck7xt,Script.NET,
ns:m.03ckgxf,Tersus,
ns:m.03ckhvp,QUILL,
ns:m.03cky9b,Dript,
ns:m.03clk94,Cobra,2006
ns:m.03cmd8m,Dialect,
ns:m.03cr66s,TeXCAD,
ns:m.03crjgp,CGOL,1973
ns:m.03d00x7,EC,
ns:m.03d1wx8,Apply,
ns:m.03d4cmc,MetaL,2001
ns:m.03d4pch,CLforJava,
ns:m.03f__t,JScript .NET,
ns:m.03fbmf,SP/k,1974
ns:m.03fbrg,Euclid,
ns:m.03fc6,GW-BASIC,1983
ns:m.03ff_9,CPL,1963
ns:m.03fjx0,Open Programming Language,1984
ns:m.03frgn,Visual Objects,
ns:m.03g20,HTML,
ns:m.03g637,DarkBASIC,
ns:m.03gbmp,Linden Scripting Language,
ns:m.03ghb3,XyMTeX,
ns:m.03gm66v,HyperTalk,
ns:m.03gm6gt,MetaCard,
ns:m.03gm6hk,OracleCard,
ns:m.03gmpl,XML schema,
ns:m.03grjyx,Lego Logo,
ns:m.03gvzs3,CLP(R),
ns:m.03gxv97,Cool,1996
ns:m.03gxzs,MIVA Script,1996
ns:m.03h1x74,Refal,
ns:m.03h2dj4,BANCStar programming language,
ns:m.03h5rg,o:XML,
ns:m.03h9tz,NWScript,2002-06-18
ns:m.03hhr4m,Neko,2005
ns:m.03hjb_9,Lazy ML,
ns:m.03hjc43,Escher,
ns:m.03hjc5h,Orwell,1984
ns:m.03hjc76,Id,
